X,Y,gml_id,lokalId,navnerom,versjonId,kommunenummer,datauttaksdato,oppdateringsdato,målemetode,skolenavn,lavesteTrinn,høyesteTrinn,nsrId,organisasjonsnummer,epostadresse,organisasjonsnavn,eier|Skoleeier|organisasjonsnummer,telefonnummer,eierforhold,antallAnsatte,adressenavn,postnummer,poststed,postadresse|Postadresse|postnummer,fylkesnummer,kontaktinformasjon|Kontaktinformasjon|epostadresse,kontaktinformasjon|Kontaktinformasjon|telefonnummer,iDrift,webside,antallElever,postadresse|Postadresse|adressenavn,postadresse|Postadresse|poststed
5.69944120314887,58.9548825739099,idf8569eb2-de3a-4ff5-bb01-5a0960a0fc85,bd443724-e75e-40b8-81b1-a589adf6134f,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,1103,2020-06-29T20:01:30,2020-06-18T16:08:14,63,Acta Bibelskole,11,13,1004420,973798995,acta@imikirken.no,Acta-Imi Kirkens Bibelskole,871547262,51842160,Privat,14,Gunnar Warebergs Gate 15,4021,STAVANGER,4021,11,acta@imikirken.no,51842160,Ja,,,,
10.3902446899088,63.4274026203197,id275ec7f4-b1dd-4530-81f5-29b97cb1d509,109ed580-b5dc-4878-a440-a56b19f5f826,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,1601,2020-06-29T20:01:30,2020-03-14T00:39:12,63,Adolf Øiens skole,11,13,1004976,974557932,,,,,Offentlig,59,Bispeg 20,7012,TRONDHEIM,7012,16,,73991910,Nei,www.adolfoien.vgs.no,,,
10.8234016899406,63.5332995921739,idf4f4d167-15c4-4228-826b-ba825409cf72,b416ab05-0f53-4a08-8da7-66491b32e1cf,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,5035,2020-06-29T20:01:30,2020-05-15T16:13:37,63,Aglo videregående skole,11,13,1010077,991025057,aglo@aglo.no,Aglo videregående skole,989004255,74834330,Privat,64,Fløanvegen 89,7510,SKATVAL,7510,50,aglo@aglo.no,,Ja,aglo.no,,,
11.0501282462973,60.8060848638584,idea88596f-6d27-41ce-8b88-034b8fd5c8d5,9653e194-1c5e-4424-96f8-65e6cfe66018,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,403,2020-06-29T20:01:30,2020-03-14T01:04:46,63,Ajer videregående skole,11,13,1005172,974571862,,,,,Offentlig,64,Vognvegen 119,2315,HAMAR,2315,4,avskole@online.no,62539700,Nei,,,,
5.33142130259372,60.3906369897566,id75e3b304-dc97-46c5-8f7a-013f74a3bbcd,66b162db-c70f-4d15-85e6-371d4f27a7f7,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,4601,2020-06-29T20:01:30,2020-03-14T00:34:53,63,Akademiet Bergen Fpg AS,11,13,1009363,986900055,bergen@akademiet.no,Akademiet Bergen Fpg AS,886897502,55323231,Privat,9,Marken 37,5017,BERGEN,5017,46,post@fanapg.no,55323231,Ja,www.akademiet.no,125,"Postboks 443, Marken",Bergen
10.1667345311257,59.7390316768223,id60bda065-323b-43ac-8fd8-7bdc8cb97ea3,f2abbf2c-0b73-4d37-8f40-671ea9c10b9f,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,3005,2020-06-29T20:01:30,2020-05-31T11:01:42,63,Akademiet Drammen AS,11,13,1009180,985500568,drammen@akademiet.no,Akademiet Drammen AS,985475296,32807600,Privat,39,Bygg C Skogliveien 4,3047,DRAMMEN,3047,30,drammen@akademiet.no,32807600,Ja,www.akademiet.no,300,,
10.9509470512021,59.209440558586,id8b568287-dba0-45ca-95b7-dc1f56a01838,ee3e370a-ee9b-4bd1-ad2c-2b1ebc05452f,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,3004,2020-06-29T20:01:30,2020-05-15T16:13:30,63,Akademiet Fredrikstad AS,11,13,1009756,988519480,fredrikstad@akademiet.no,Akademiet Fredrikstad AS,988467944,,Privat,19,Rektor Østbyes Gate 2,1604,FREDRIKSTAD,1604,30,fredrikstad@akademiet.no,,Ja,www.akademiet.no,90,,
6.1503151476507,62.4734016450532,id480ccb93-f5ca-4f58-aceb-fe5b29e32381,69acb096-75fb-42fc-ae33-15caea890e9b,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,1507,2020-06-29T20:01:30,2020-03-14T01:17:47,63,Akademiet Heltberg Toppidrettsgymnas Ålesund AS,11,13,1011708,911770172,alesund@heltberg.no,Akademiet Heltberg Toppidrettsgymnas Ålesund AS,811731242,70134210,Privat,29,Molovegen 5,6004,ÅLESUND,6004,15,alesund@heltberg.no,70134210,Ja,www.heltberg.no,,Postboks 943  Sentrum,Ålesund
8.02905473645719,58.153246656948,ida21f5b23-5b91-48cf-ba74-8f6aab3f0545,332c9c20-c265-482c-a9a4-008ff2265ae4,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,4204,2020-06-29T20:01:30,2020-06-18T16:08:26,63,Akademiet Kristiansand AS,11,13,1008885,982759846,kristiansand@akademiet.no,Akademiet Kristiansand AS,980412024,38000000,Privat,19,Stadionveien 21,4632,KRISTIANSAND S,4632,42,kristiansand@akademiet.no,93033808,Ja,www.akademiet.no,,,
10.7317909263016,59.9234478358823,id55287da5-3e25-4db5-b152-0a19c74ee435,8cd9a459-beaf-4c8e-8e8a-5bad9efe67ef,https://data.geonorge.no/sosi/befolkning/videregaende,20190301,301,2020-06-29T20:01:30,2020-06-18T16:08:54,63,Akademiet Oslo AS,11,13,1003934,887664102,oslo@akademiet.no,Akademiet Oslo AS,987619295,22466900,Privat,64,Pilestredet 56,167,OSLO,167,3,oslo@akademiet.no,22466900,Ja,www.akademiet.no,,Postboks 189  Bogstadveien,Oslo
